n,design,distr,effectX1,effectX2,effectX1X2,X1,X2,X1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2
16,4x3,likert5B,0,0,0,0.001,0.0022,0.0374,0.0062,0.0042,0.0564,0.0054,0.0043,0.0565,0.0059,0.0014,0.0678,0.0071,0.0027,0.056
16,4x3,likert5B,0,0,0,0.0138,0.0011,0.0294,0.0432,0.0041,0.0159,0.0434,0.0031,0.0164,0.0554,0.0277,0.023,0.0473,0.0029,0.0182
16,4x3,likert5B,0,0,0,0.0207,0.0095,0.0398,0.0114,0.0033,0.0511,0.011,0.0116,0.0486,0.0638,0.0357,0.0439,0.012,0.0062,0.0509
16,4x3,likert5B,0,0,0,0.0148,0.0427,0.0749,0.0221,0.0581,0.0612,0.0299,0.0458,0.0612,0.0705,0.0516,0.1048,0.0261,0.052,0.0663
16,4x3,likert5B,0,0,0,0.0081,0.0103,0.0585,0.0012,0.0142,0.0304,0.0012,0.0193,0.0373,0.0081,0.01,0.0275,0.0013,0.0125,0.031
16,4x3,likert5B,0,0,0,0.0062,0.0061,0.0738,0.0002,0.005,0.0604,0.0008,0.0019,0.065,0.0032,0.0026,0.0712,0.0013,0.0016,0.0669
16,4x3,likert5B,0,0,0,0.0134,0.0316,0.048,0.0327,0.0206,0.0406,0.0311,0.0236,0.0435,0.0239,0.0204,0.0273,0.032,0.0223,0.0505
16,4x3,likert5B,0,0,0,0.0127,0.018,0.0366,0.0144,0.0156,0.0166,0.0104,0.008,0.0186,0.0564,0.0276,0.0325,0.0122,0.0111,0.0183
16,4x3,likert5B,0,0,0,0.005,0.0007,0.0152,0.0094,0.0052,0.0337,0.0085,0.0062,0.0361,0.0112,0.0188,0.0283,0.0093,0.0063,0.0354
16,4x3,likert5B,0,0,0,0.0499,0.0298,0.0176,0.0656,0.036,0.0161,0.063,0.0336,0.0204,0.0271,0.036,0.0241,0.0657,0.0384,0.0178
16,4x3,likert5B,0,0,0,0.0013,0.013,0.0274,0.0019,0.0088,0.0371,0.0018,0.008,0.0276,0.0191,0.0197,0.03,0.0019,0.0077,0.0335
16,4x3,likert5B,0,0,0,0.0243,0.0116,0.0372,0.0152,0.016,0.0507,0.019,0.0146,0.046,0.0333,0.0111,0.0534,0.0136,0.0131,0.0523
16,4x3,likert5B,0,0,0,0.0287,0.0381,0.0551,0.0354,0.0355,0.034,0.0368,0.0393,0.0345,0.0338,0.0177,0.0403,0.0426,0.0406,0.0363
