n,design,family,missingratio,sdratio,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
20,4x3,norm,0.3,2,ART,0.01,2,0,0,1,0.026,0.0166
20,4x3,norm,0.3,2,INT,0.01,2,0,0,1,0.0084,0.0134
20,4x3,norm,0.1,1,PAR,0.05,4,0,0,1,0.0468,0.045
20,4x3,norm,0.1,1,RNK,0.05,4,0,0,1,0.0446,0.0534
20,4x3,norm,0.1,1,ART,0.05,4,0,0,1,0.0858,0.0454
20,4x3,norm,0.1,1,INT,0.05,4,0,0,1,0.0468,0.0478
20,4x3,norm,0.1,1,PAR,0.01,4,0,0,1,0.01,0.0088
20,4x3,norm,0.1,1,RNK,0.01,4,0,0,1,0.0088,0.0128
20,4x3,norm,0.1,1,ART,0.01,4,0,0,1,0.0236,0.0086
20,4x3,norm,0.1,1,INT,0.01,4,0,0,1,0.0092,0.01
20,4x3,norm,0.2,1,PAR,0.05,4,0,0,1,0.0438,0.0486
20,4x3,norm,0.2,1,RNK,0.05,4,0,0,1,0.0438,0.054
20,4x3,norm,0.2,1,ART,0.05,4,0,0,1,0.126,0.0512
20,4x3,norm,0.2,1,INT,0.05,4,0,0,1,0.0468,0.049
20,4x3,norm,0.2,1,PAR,0.01,4,0,0,1,0.0088,0.01
20,4x3,norm,0.2,1,RNK,0.01,4,0,0,1,0.0092,0.013
20,4x3,norm,0.2,1,ART,0.01,4,0,0,1,0.0392,0.0104
20,4x3,norm,0.2,1,INT,0.01,4,0,0,1,0.0074,0.009
20,4x3,norm,0.3,1,PAR,0.05,4,0,0,1,0.0502,0.0526
20,4x3,norm,0.3,1,RNK,0.05,4,0,0,1,0.0494,0.058
20,4x3,norm,0.3,1,ART,0.05,4,0,0,1,0.1752,0.0512
20,4x3,norm,0.3,1,INT,0.05,4,0,0,1,0.052,0.054
20,4x3,norm,0.3,1,PAR,0.01,4,0,0,1,0.0102,0.0102
20,4x3,norm,0.3,1,RNK,0.01,4,0,0,1,0.0106,0.0144
20,4x3,norm,0.3,1,ART,0.01,4,0,0,1,0.0668,0.0114
20,4x3,norm,0.3,1,INT,0.01,4,0,0,1,0.0112,0.0128
20,4x3,norm,0.1,2,PAR,0.05,4,0,0,1,0.0498,0.065
20,4x3,norm,0.1,2,RNK,0.05,4,0,0,1,0.0504,0.0618
20,4x3,norm,0.1,2,ART,0.05,4,0,0,1,0.1082,0.0696
20,4x3,norm,0.1,2,INT,0.05,4,0,0,1,0.048,0.0608
20,4x3,norm,0.1,2,PAR,0.01,4,0,0,1,0.0094,0.018
20,4x3,norm,0.1,2,RNK,0.01,4,0,0,1,0.01,0.0156
20,4x3,norm,0.1,2,ART,0.01,4,0,0,1,0.034,0.0172
20,4x3,norm,0.1,2,INT,0.01,4,0,0,1,0.008,0.0158
20,4x3,norm,0.2,2,PAR,0.05,4,0,0,1,0.0536,0.063
20,4x3,norm,0.2,2,RNK,0.05,4,0,0,1,0.0564,0.0598
20,4x3,norm,0.2,2,ART,0.05,4,0,0,1,0.1622,0.068
20,4x3,norm,0.2,2,INT,0.05,4,0,0,1,0.0516,0.0584
20,4x3,norm,0.2,2,PAR,0.01,4,0,0,1,0.0088,0.0164
20,4x3,norm,0.2,2,RNK,0.01,4,0,0,1,0.0084,0.0142
20,4x3,norm,0.2,2,ART,0.01,4,0,0,1,0.0586,0.0128
20,4x3,norm,0.2,2,INT,0.01,4,0,0,1,0.0086,0.011
20,4x3,norm,0.3,2,PAR,0.05,4,0,0,1,0.0492,0.0614
20,4x3,norm,0.3,2,RNK,0.05,4,0,0,1,0.047,0.0592
20,4x3,norm,0.3,2,ART,0.05,4,0,0,1,0.1822,0.062
20,4x3,norm,0.3,2,INT,0.05,4,0,0,1,0.0526,0.0568
20,4x3,norm,0.3,2,PAR,0.01,4,0,0,1,0.0094,0.014
20,4x3,norm,0.3,2,RNK,0.01,4,0,0,1,0.0088,0.0126
20,4x3,norm,0.3,2,ART,0.01,4,0,0,1,0.0724,0.0138
20,4x3,norm,0.3,2,INT,0.01,4,0,0,1,0.0082,0.0112
20,4x3,norm,0.1,1,PAR,0.05,8,0,0,1,0.0522,0.0526
20,4x3,norm,0.1,1,RNK,0.05,8,0,0,1,0.0518,0.0618
20,4x3,norm,0.1,1,ART,0.05,8,0,0,1,0.2138,0.052
20,4x3,norm,0.1,1,INT,0.05,8,0,0,1,0.0506,0.062
20,4x3,norm,0.1,1,PAR,0.01,8,0,0,1,0.0098,0.0106
20,4x3,norm,0.1,1,RNK,0.01,8,0,0,1,0.0104,0.0154
20,4x3,norm,0.1,1,ART,0.01,8,0,0,1,0.0874,0.0096
20,4x3,norm,0.1,1,INT,0.01,8,0,0,1,0.0118,0.0146
20,4x3,norm,0.2,1,PAR,0.05,8,0,0,1,0.0528,0.0466
20,4x3,norm,0.2,1,RNK,0.05,8,0,0,1,0.0502,0.0548
20,4x3,norm,0.2,1,ART,0.05,8,0,0,1,0.3526,0.0456
20,4x3,norm,0.2,1,INT,0.05,8,0,0,1,0.0496,0.0544
20,4x3,norm,0.2,1,PAR,0.01,8,0,0,1,0.0106,0.0104
