n,design,family,effectX1,effectX2,effectX1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2,grtX1,grtX2,grtX1X2
20,2x3,norm,0.283,1.924,0,0.127,0.6733,0.063,0.1278,0.6626,0.0374,0.1057,0.6707,0.0442,0.1149,0.6606,0.0419,0.127,0.6733,0.063
20,2x3,norm,1.7473,2.6288,0,0.638,1.0502,0.2049,0.5997,1.0522,0.1281,0.637,1.0859,0.1839,0.6287,1.0254,0.1191,0.638,1.0502,0.2049
20,2x3,norm,2.8278,-1.3489,0,1.3165,0.6656,0.2212,1.353,0.6358,0.219,1.343,0.6474,0.2464,1.1853,0.6402,0.1963,1.3165,0.6656,0.2212
20,2x3,norm,3.5004,-2.0092,0,1.6872,0.8578,0.0792,1.7612,0.8293,0.0577,1.6595,0.8382,0.0748,1.4687,0.7938,0.0555,1.6872,0.8578,0.0792
20,2x3,norm,3.417,-1.8945,0,1.7328,0.9536,0.0906,2.0465,1.0124,0.1325,1.7251,1.0483,0.1008,1.6554,0.9576,0.1072,1.7328,0.9536,0.0906
20,2x3,norm,0.6564,-1.1247,0,0.2263,0.3651,0.0381,0.2593,0.3621,0.0786,0.2496,0.3563,0.0617,0.2326,0.3702,0.052,0.2263,0.3651,0.0381
20,2x3,norm,2.7317,-1.9526,0,1.3775,0.7689,0.0515,1.4664,0.7676,0.0698,1.456,0.7811,0.0845,1.3094,0.7718,0.07,1.3775,0.7689,0.0515
20,2x3,norm,0.1264,-1.7896,0,0.0618,0.6555,0.1172,0.0545,0.6876,0.0928,0.0608,0.696,0.1207,0.0662,0.648,0.1173,0.0618,0.6555,0.1172
20,2x3,norm,0.4877,-1.3059,0,0.2669,0.6694,0.0363,0.2673,0.6903,0.0628,0.263,0.6951,0.0705,0.27,0.6746,0.027,0.2669,0.6694,0.0363
20,2x3,norm,3.6295,-2.4765,0,1.9638,1.1183,0.0494,1.995,1.0585,0.0746,1.7007,1.1084,0.0501,1.6236,0.9828,0.0286,1.9638,1.1183,0.0494
20,2x3,norm,-0.6294,1.9998,0,0.1925,0.8629,0.211,0.1681,0.8932,0.1892,0.1918,0.8953,0.1906,0.1599,0.8272,0.1719,0.1925,0.8629,0.211
20,2x3,norm,2.8952,-3.626,0,1.6744,1.6461,0.0858,1.5366,1.4625,0.1967,1.5745,1.394,0.0583,1.3943,1.3603,0.0872,1.6744,1.6461,0.0858
20,2x3,norm,3.9131,-3.5491,0,1.9306,1.5666,0.1725,1.7839,1.3861,0.1493,1.7068,1.42,0.1318,1.5624,1.3019,0.127,1.9306,1.5666,0.1725
20,2x3,norm,-0.9139,1.0088,0,0.6274,0.4103,0.1802,0.656,0.4197,0.172,0.6393,0.3806,0.1458,0.625,0.4077,0.1829,0.6274,0.4103,0.1802
20,2x3,norm,-0.8131,-2.7017,0,0.426,1.2227,0.052,0.4167,1.2729,0.0359,0.4217,1.307,0.0861,0.4208,1.1851,0.0273,0.426,1.2227,0.052
20,2x3,norm,1.7636,3.558,0,0.7556,1.6127,0.1307,0.7938,1.625,0.2621,0.7936,1.3987,0.134,0.7615,1.4078,0.1608,0.7556,1.6127,0.1307
20,2x3,norm,-2.7314,-3.4128,0,1.3296,1.4986,0.1787,1.2324,1.4627,0.2784,1.366,1.1992,0.1846,1.1549,1.3297,0.1409,1.3296,1.4986,0.1787
20,2x3,norm,-0.5858,3.4344,0,0.3097,1.3496,0.0915,0.2823,1.3955,0.0558,0.3255,1.4071,0.0573,0.3022,1.2673,0.0876,0.3097,1.3496,0.0915
20,2x3,norm,0.0848,2.4924,0,0.0112,0.9339,0.1638,0.0217,0.9783,0.1475,0.04,0.9878,0.1299,0.0032,0.8986,0.1631,0.0112,0.9339,0.1638
20,2x3,norm,-1.7099,-2.7123,0,0.7582,1.3473,0.0856,0.7763,1.3951,0.1095,0.7898,1.4585,0.1089,0.7576,1.3133,0.0339,0.7582,1.3473,0.0856
20,2x3,norm,1.2761,3.1865,0,0.4956,1.4596,0.1993,0.5192,1.5044,0.2766,0.4951,1.4039,0.1939,0.4735,1.2997,0.1829,0.4956,1.4596,0.1993
20,2x3,norm,1.6006,3.8976,0,0.7541,1.5365,0.0944,0.7122,1.5393,0.092,0.7935,1.4021,0.0454,0.7068,1.3773,0.0293,0.7541,1.5365,0.0944
20,2x3,norm,2.1365,3.6368,0,1.0496,1.3806,0.1887,1.0506,1.4344,0.2575,1.141,1.4281,0.1739,0.9759,1.2729,0.1277,1.0496,1.3806,0.1887
20,2x3,norm,1.2693,-0.3154,0,0.7302,0.2714,0.0854,0.767,0.2908,0.1225,0.7659,0.29,0.0965,0.7067,0.2745,0.0808,0.7302,0.2714,0.0854
20,2x3,norm,-1.1509,3.1138,0,0.5763,1.2699,0.0695,0.5509,1.3181,0.0758,0.6068,1.3299,0.0599,0.5738,1.2002,0.0954,0.5763,1.2699,0.0695
20,2x3,norm,-2.1366,2.9421,0,1.0392,1.4487,0.2039,1.0695,1.4762,0.2568,1.1158,1.2875,0.245,1.0053,1.3197,0.1689,1.0392,1.4487,0.2039
20,2x3,norm,-1.2581,3.8345,0,0.6659,1.3798,0.0324,0.6744,1.3871,0.1489,0.6623,1.2957,0.0092,0.658,1.2507,0.066,0.6659,1.3798,0.0324
20,2x3,norm,-2.7072,0.0561,0,1.409,0.0376,0.0693,1.4695,0.0258,0.0875,1.4646,0.0334,0.088,1.2171,0.0494,0.1068,1.409,0.0376,0.0693
20,2x3,norm,2.3413,2.6253,0,1.0635,0.9043,0.0887,1.0745,0.8317,0.0865,1.0989,0.8969,0.0611,1.0232,0.861,0.0657,1.0635,0.9043,0.0887
20,2x3,norm,1.0967,-3.9213,0,0.7292,1.5722,0.111,0.7064,1.5156,0.1614,0.7441,1.3823,0.1097,0.7331,1.395,0.1361,0.7292,1.5722,0.111
20,2x3,norm,-0.377,-2.6334,0,0.2085,1.0699,0.0673,0.1866,1.1139,0.053,0.1876,1.1134,0.0563,0.2031,1.0279,0.0862,0.2085,1.0699,0.0673
20,2x3,norm,-2.9633,-2.3549,0,1.483,0.7727,0.1186,1.6207,0.7793,0.1443,1.5437,0.7921,0.1168,1.3764,0.7566,0.0758,1.483,0.7727,0.1186
20,2x3,norm,2.498,-2.0184,0,0.9484,0.6962,0.1007,0.9743,0.7101,0.0819,1.0059,0.7344,0.0976,0.9345,0.6997,0.0515,0.9484,0.6962,0.1007
20,2x3,norm,-2.8315,-1.804,0,1.2905,0.6753,0.0247,1.3576,0.7027,0.052,1.2952,0.7562,0.0346,1.2195,0.7152,0.0392,1.2905,0.6753,0.0247
20,2x3,norm,-2.8281,3.4132,0,1.5932,1.6841,0.1713,1.5018,1.5032,0.2437,1.5582,1.4065,0.1656,1.3342,1.3616,0.095,1.5932,1.6841,0.1713
20,2x3,norm,2.673,3.7339,0,1.5056,1.8147,0.1141,1.4821,1.8388,0.2799,1.5377,1.696,0.1224,1.3314,1.6221,0.0996,1.5056,1.8147,0.1141
20,2x3,norm,0.0451,0.6741,0,0.1443,0.2886,0.1799,0.1764,0.2928,0.1991,0.1806,0.2896,0.1996,0.1621,0.2672,0.1964,0.1443,0.2886,0.1799
20,2x3,norm,-1.6708,-0.462,0,0.661,0.144,0.0606,0.6733,0.1404,0.087,0.6936,0.147,0.0923,0.6524,0.1536,0.0714,0.661,0.144,0.0606
20,2x3,norm,-0.755,-1.5015,0,0.343,0.6661,0.1725,0.3928,0.6249,0.1661,0.3602,0.6527,0.1766,0.351,0.6445,0.1618,0.343,0.6661,0.1725
20,2x3,norm,-2.2809,1.0056,0,1.2034,0.3412,0.2751,1.3936,0.3202,0.2731,1.3522,0.3321,0.2717,1.2082,0.3446,0.2856,1.2034,0.3412,0.2751
20,2x3,norm,3.7732,3.7718,0,1.9551,1.7309,0.2022,1.714,1.4367,0.2251,1.6919,1.3982,0.2218,1.5018,1.3175,0.1478,1.9551,1.7309,0.2022
