n,design,family,effectX1,effectX2,effectX1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2,grtX1,grtX2,grtX1X2
20,4x3,norm,0.563,-3.9892,1.7632,0.3499,1.9036,0.2317,0.3319,1.7526,0.2223,0.3088,1.7232,0.2213,0.3452,1.5875,0.2529,0.3499,1.9036,0.2317
20,4x3,norm,-3.0564,3.1868,-2.7529,1.3838,1.6391,0.4782,1.2369,1.4115,0.2118,1.4163,1.5268,0.4441,1.3339,1.4551,0.2035,1.3838,1.6391,0.4782
20,4x3,norm,0.9341,-1.0675,-1.8671,0.4442,0.5156,0.3222,0.451,0.4976,0.3209,0.4145,0.4707,0.2893,0.4381,0.5178,0.325,0.4442,0.5156,0.3222
20,4x3,norm,-0.8765,-0.4879,-3.7912,0.474,0.2905,0.9505,0.4576,0.2684,0.9471,0.4669,0.284,0.9381,0.4729,0.2918,0.9395,0.474,0.2905,0.9505
20,4x3,norm,-0.1833,2.6545,-2.8649,0.1481,1.2273,0.503,0.183,1.2078,0.4809,0.1578,1.2407,0.4983,0.1548,1.1653,0.4868,0.1481,1.2273,0.503
20,4x3,norm,1.6294,0.9534,2.6858,0.6128,0.4471,0.5914,0.5827,0.4198,0.6074,0.5928,0.4424,0.608,0.6062,0.4231,0.5908,0.6128,0.4471,0.5914
20,4x3,norm,1.555,-1.2007,0.1045,0.6297,0.5567,0.1604,0.5993,0.566,0.1621,0.6045,0.5573,0.1561,0.629,0.5655,0.1592,0.6297,0.5567,0.1604
20,4x3,norm,-1.8312,-2.4232,0.6035,0.7784,0.9939,0.153,0.7431,0.9618,0.1744,0.7836,0.9885,0.1646,0.7727,0.9829,0.137,0.7784,0.9939,0.153
20,4x3,norm,1.9154,3.671,1.9774,0.772,1.7003,0.3999,0.6087,1.367,0.1253,0.8092,1.4513,0.4,0.6428,1.2995,0.1883,0.772,1.7003,0.3999
20,4x3,norm,1.1697,-2.5968,-3.7965,0.5291,1.1909,0.6574,0.5538,1.2195,0.6638,0.5093,1.1471,0.6099,0.4771,1.1402,0.6303,0.5291,1.1909,0.6574
20,4x3,norm,-1.5471,0.7213,1.0394,0.6157,0.4161,0.315,0.6073,0.4051,0.2731,0.6172,0.4096,0.2983,0.6229,0.4202,0.3269,0.6157,0.4161,0.315
20,4x3,norm,-2.101,-3.1207,3.0624,0.877,1.356,0.456,0.8508,1.4334,0.4631,0.8847,1.3772,0.443,0.8525,1.3523,0.4331,0.877,1.356,0.456
20,4x3,norm,2.3848,-2.0121,0.7513,0.9262,0.8561,0.1596,0.8801,0.8185,0.1608,0.9215,0.8887,0.1817,0.918,0.847,0.1511,0.9262,0.8561,0.1596
20,4x3,norm,-1.2801,0.0509,3.1427,0.4868,0.0796,0.5977,0.4271,0.0899,0.4947,0.4795,0.0556,0.5639,0.4648,0.085,0.5545,0.4868,0.0796,0.5977
20,4x3,norm,1.7711,-2.0683,-0.1727,0.8019,0.8862,0.1319,0.8109,0.8511,0.1308,0.8027,0.8824,0.1362,0.7868,0.8645,0.1299,0.8019,0.8862,0.1319
20,4x3,norm,2.9372,-2.7868,3.4649,1.2197,1.4549,0.7478,1.1656,1.4046,0.7424,1.121,1.3506,0.6778,0.9654,1.1427,0.5444,1.2197,1.4549,0.7478
20,4x3,norm,-3.7297,-0.6949,-0.1659,1.2817,0.3039,0.1292,1.2333,0.2996,0.1348,1.2471,0.3065,0.1109,1.2049,0.2815,0.126,1.2817,0.3039,0.1292
20,4x3,norm,-0.5965,2.8058,3.3475,0.281,1.4957,0.6365,0.3418,1.4495,0.6014,0.2739,1.3759,0.6053,0.2838,1.3148,0.5929,0.281,1.4957,0.6365
20,4x3,norm,2.4647,-1.0379,-2.1617,1.1393,0.4946,0.398,1.1335,0.5364,0.3992,1.0944,0.4742,0.3959,1.1165,0.4785,0.4006,1.1393,0.4946,0.398
20,4x3,norm,2.1879,3.0163,2.4658,0.9824,1.3853,0.6265,0.6971,1.2694,0.4424,0.9721,1.4217,0.6371,0.7772,1.2263,0.4226,0.9824,1.3853,0.6265
20,4x3,norm,2.2049,-1.9716,-2.1843,0.937,0.9348,0.4265,0.803,0.9132,0.3359,0.9144,0.9299,0.4136,0.8365,0.9037,0.3483,0.937,0.9348,0.4265
20,4x3,norm,2.6695,-0.622,-1.2372,1.3239,0.3731,0.2438,1.3407,0.36,0.2043,1.3701,0.3825,0.2564,1.2175,0.3401,0.2152,1.3239,0.3731,0.2438
20,4x3,norm,-2.6184,-1.8474,0.4319,0.9668,0.9232,0.1704,0.9113,0.9155,0.1476,0.949,0.9066,0.1872,0.9397,0.9349,0.16,0.9668,0.9232,0.1704
20,2x3,norm,-2.8027,2.5964,1.2498,1.2383,1.0969,0.4235,1.1043,0.8933,0.2068,1.3281,1.1549,0.4563,1.0718,0.9232,0.204,1.2383,1.0969,0.4235
20,2x3,norm,0.6174,3.2443,-1.2185,0.3426,1.2302,0.2707,0.3321,1.3163,0.2497,0.2965,1.2709,0.2964,0.3148,1.1739,0.2665,0.3426,1.2302,0.2707
20,2x3,norm,1.7367,3.2542,2.8715,0.6593,1.5273,0.6354,0.3724,1.1754,0.2621,0.6793,1.316,0.6662,0.4098,1.1187,0.3095,0.6593,1.5273,0.6354
