n,design,family,effectX1,effectX2,effectX1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2,grtX1,grtX2,grtX1X2
20,2x3,norm,-1.1822,-5.7462,0,0.4355,2.506,0.0962,0.4356,1.5772,0.1829,0.4093,1.4299,0.0867,0.4371,1.3477,0.1202,0.4355,2.506,0.0962
20,2x3,norm,-4.2294,1.4837,0,1.8139,0.5742,0.1203,1.825,0.5741,0.1045,1.6561,0.5946,0.127,1.4406,0.5402,0.0695,1.8139,0.5742,0.1203
20,2x3,norm,-6.8571,1.7901,0,3.8298,1.0617,0.3175,2.5184,1.0437,0.1557,1.7329,1.1294,0.3283,1.8275,0.9297,0.0927,3.8298,1.0617,0.3175
20,2x3,norm,0.4071,-0.8798,0,0.1436,0.4447,0.1663,0.1468,0.4683,0.1633,0.135,0.454,0.1448,0.1424,0.4316,0.1655,0.1436,0.4447,0.1663
20,2x3,norm,7.2368,-3.4222,0,3.0683,1.4073,0.0982,2.7332,1.2376,0.0457,1.7363,1.2416,0.1123,1.9799,1.0961,0.1348,3.0683,1.4073,0.0982
20,2x3,norm,2.9582,-2.776,0,1.5861,0.983,0.1522,1.705,0.912,0.1043,1.5053,1.0103,0.1266,1.5048,0.9348,0.1314,1.5861,0.983,0.1522
20,2x3,norm,-6.9021,3.7552,0,3.0488,1.3192,0.0736,2.7869,1.2918,0.021,1.7324,1.2655,0.0739,1.9843,1.1122,0.0946,3.0488,1.3192,0.0736
20,2x3,norm,-0.3193,1.2886,0,0.1418,0.4497,0.1113,0.1431,0.4468,0.1743,0.1038,0.4396,0.164,0.1394,0.446,0.1,0.1418,0.4497,0.1113
20,2x3,norm,7.9831,-7.4939,0,3.7065,2.8848,0.019,3.1235,2.2205,0.1998,1.7324,2.4891,0.023,2.364,1.8789,0.1351,3.7065,2.8848,0.019
20,2x3,norm,7.8345,-1.5803,0,3.4413,0.5784,0.0389,2.0122,0.5877,0.0622,1.7327,0.5837,0.0337,1.5371,0.5698,0.019,3.4413,0.5784,0.0389
20,2x3,norm,4.8415,7.0357,0,2.0022,2.7949,0.0693,1.6,2.4839,0.3873,1.6711,1.5602,0.128,1.3421,1.9343,0.1663,2.0022,2.7949,0.0693
20,2x3,norm,1.6266,-0.7994,0,0.8363,0.3987,0.0152,0.8448,0.4283,0.0492,0.8581,0.4009,0.0311,0.8136,0.4064,0.0331,0.8363,0.3987,0.0152
