n,design,family,method,alpha,effectX1,effectX2,effectX1X2,effectX3,rateX1,rateX2,rateX1X2,rateX3,rateX1X3,rateX2X3,rateX1X2X3
20,2x3,exp,RNK,0.05,4,4,0,0,1,1,0.1174,0,0,0,0
20,2x3,exp,ART,0.05,4,4,0,0,1,1,1,0,0,0,0
20,2x3,exp,INT,0.05,4,4,0,0,1,1,0.0192,0,0,0,0
20,2x3,exp,PAR,0.01,4,4,0,0,0.996,0.9912,0.989,0,0,0,0
20,2x3,exp,RNK,0.01,4,4,0,0,1,1,0.029,0,0,0,0
20,2x3,exp,ART,0.01,4,4,0,0,1,1,1,0,0,0,0
20,2x3,exp,INT,0.01,4,4,0,0,1,1,0.002,0,0,0,0
20,2x3,exp,PAR,0.05,8,8,0,0,0.9996,0.9994,0.9994,0,0,0,0
20,2x3,exp,RNK,0.05,8,8,0,0,1,1,0.3328,0,0,0,0
20,2x3,exp,ART,0.05,8,8,0,0,1,1,1,0,0,0,0
20,2x3,exp,INT,0.05,8,8,0,0,1,1,0.01,0,0,0,0
20,2x3,exp,PAR,0.01,8,8,0,0,0.993,0.9954,0.9954,0,0,0,0
20,2x3,exp,RNK,0.01,8,8,0,0,1,1,0.1316,0,0,0,0
20,2x3,exp,ART,0.01,8,8,0,0,1,1,1,0,0,0,0
20,2x3,exp,INT,0.01,8,8,0,0,1,1,0.0012,0,0,0,0
20,2x3,exp,PAR,0.05,0.5,0,0,0,0.6832,0.0446,0.0464,0,0,0,0
20,2x3,exp,RNK,0.05,0.5,0,0,0,0.6048,0.055,0.0484,0,0,0,0
20,2x3,exp,ART,0.05,0.5,0,0,0,0.623,0.075,0.0704,0,0,0,0
20,2x3,exp,INT,0.05,0.5,0,0,0,0.6168,0.053,0.0498,0,0,0,0
20,2x3,exp,PAR,0.01,0.5,0,0,0,0.4086,0.008,0.007,0,0,0,0
20,2x3,exp,RNK,0.01,0.5,0,0,0,0.3582,0.0116,0.012,0,0,0,0
20,2x3,exp,ART,0.01,0.5,0,0,0,0.3754,0.0158,0.0182,0,0,0,0
20,2x3,exp,INT,0.01,0.5,0,0,0,0.3754,0.0112,0.0112,0,0,0,0
20,2x3,exp,PAR,0.05,1,0,0,0,0.9978,0.0496,0.0482,0,0,0,0
20,2x3,exp,RNK,0.05,1,0,0,0,0.9934,0.053,0.0474,0,0,0,0
20,2x3,exp,ART,0.05,1,0,0,0,0.9948,0.1396,0.1422,0,0,0,0
20,2x3,exp,INT,0.05,1,0,0,0,0.9948,0.0538,0.0474,0,0,0,0
20,2x3,exp,PAR,0.01,1,0,0,0,0.978,0.0084,0.0074,0,0,0,0
20,2x3,exp,RNK,0.01,1,0,0,0,0.966,0.0104,0.0106,0,0,0,0
20,2x3,exp,ART,0.01,1,0,0,0,0.9706,0.0482,0.0468,0,0,0,0
20,2x3,exp,INT,0.01,1,0,0,0,0.9708,0.0114,0.0094,0,0,0,0
20,2x3,exp,PAR,0.05,2,0,0,0,1,0.0462,0.0464,0,0,0,0
20,2x3,exp,RNK,0.05,2,0,0,0,1,0.053,0.0518,0,0,0,0
20,2x3,exp,ART,0.05,2,0,0,0,1,0.4192,0.4204,0,0,0,0
20,2x3,exp,INT,0.05,2,0,0,0,1,0.0548,0.0452,0,0,0,0
20,2x3,exp,PAR,0.01,2,0,0,0,0.9998,0.0086,0.0096,0,0,0,0
20,2x3,exp,RNK,0.01,2,0,0,0,1,0.0104,0.0104,0,0,0,0
