n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX2
30,4x3,lnorm,ART,0.01,1,0,0,0.0631
30,4x3,lnorm,INT,0.01,1,0,0,0.0102
30,4x3,lnorm,PAR,0.05,2,0,0,0.0435
30,4x3,lnorm,RNK,0.05,2,0,0,0.0493
30,4x3,lnorm,ART,0.05,2,0,0,0.356
30,4x3,lnorm,INT,0.05,2,0,0,0.0503
30,4x3,lnorm,PAR,0.01,2,0,0,0.0065
30,4x3,lnorm,RNK,0.01,2,0,0,0.0097
30,4x3,lnorm,ART,0.01,2,0,0,0.2255
30,4x3,lnorm,INT,0.01,2,0,0,0.0109
30,4x3,lnorm,PAR,0.05,4,0,0,0.0425
30,4x3,lnorm,RNK,0.05,4,0,0,0.0502
30,4x3,lnorm,ART,0.05,4,0,0,0.6868
30,4x3,lnorm,INT,0.05,4,0,0,0.0515
30,4x3,lnorm,PAR,0.01,4,0,0,0.0067
30,4x3,lnorm,RNK,0.01,4,0,0,0.0098
30,4x3,lnorm,ART,0.01,4,0,0,0.5751
30,4x3,lnorm,INT,0.01,4,0,0,0.0108
30,4x3,lnorm,PAR,0.05,8,0,0,0.0441
30,4x3,lnorm,RNK,0.05,8,0,0,0.0481
30,4x3,lnorm,ART,0.05,8,0,0,0.9007
30,4x3,lnorm,INT,0.05,8,0,0,0.0479
30,4x3,lnorm,PAR,0.01,8,0,0,0.0066
30,4x3,lnorm,RNK,0.01,8,0,0,0.0092
30,4x3,lnorm,ART,0.01,8,0,0,0.8343
30,4x3,lnorm,INT,0.01,8,0,0,0.0091
10,4x3,exp,PAR,0.05,0,0,0,0.0487
10,4x3,exp,RNK,0.05,0,0,0,0.0503
10,4x3,exp,ART,0.05,0,0,0,0.0534
10,4x3,exp,INT,0.05,0,0,0,0.0506
10,4x3,exp,PAR,0.01,0,0,0,0.0087
10,4x3,exp,RNK,0.01,0,0,0,0.0113
10,4x3,exp,ART,0.01,0,0,0,0.0115
10,4x3,exp,INT,0.01,0,0,0,0.0102
