;UserID;TrialID;Type;isFoV;SecInFov;TimesInFov;Detected;TimeToDetect;TimeToDetectFromFirst;Manipulation;Size;Distance;Isolated;Complexity;Detection Ratio
414;11;29;RE;False;8.966780765829256;4.0;True;23.7;0.010868354679077034;Manipulation_RE_002;0;0;1;1;17.0
416;11;31;AD;False;12.41713954343582;5.0;False;45.1;16.28742232657259;Manipulation_AD_005;1;1;0;0;17.0
417;11;32;RL;False;11.18790470231069;4.0;True;16.7;4.907939929082974;Manipulation_RL_000;0;0;1;0;17.0
420;12;0;RL;False;19.934437351961133;6.0;False;45.1;10.601254566622504;Manipulation_RL_001;0;1;0;0;20.0
421;12;1;RE;False;8.904151360645542;10.0;True;31.4;6.076000116657558;Manipulation_RE_004;0;1;1;1;20.0
422;12;2;RE;False;9.703382377047328;10.0;False;45.1;1.17954491686493;Manipulation_RE_005;1;0;1;1;20.0
423;12;3;RL;False;11.1092939940116;7.0;False;45.1;14.389518030833276;Manipulation_RL_002;1;1;0;1;20.0
424;12;4;FOV;True;42.293118963437436;1.0;False;45.1;0.011223606087410966;Manipulation_FOV_RE_001;0;0;0;0;20.0
425;12;5;RE;False;4.845143277002163;5.0;True;12.8;6.3177369581190135;Manipulation_RE_006;1;1;0;0;20.0
426;12;6;RL;False;4.167380884384741;2.0;True;20.4;12.660898895483903;Manipulation_RL_005;0;1;1;1;20.0
428;12;8;CH;False;6.742145293212202;6.0;True;15.0;3.897398364168658;Manipulation_CH_005;1;1;1;1;20.0
429;12;9;CH;False;6.613046224661616;14.0;False;45.1;7.465122422707082;Manipulation_CH_004;1;1;0;0;20.0
